Price,Adj Close,Close,High,Low,Open,Volume
2025-06-05,7113.424805,7113.424805,7136.643066,7083.892090,7100.235840,193147800
2025-06-10,7230.745117,7230.745117,7230.745117,7133.378906,7136.862793,265169800
2025-06-11,7222.456055,7222.456055,7239.955078,7172.203125,7232.681152,262581600
2025-06-12,7204.370117,7204.370117,7237.274902,7191.904785,7219.561035,281607200
2025-06-13,7166.064941,7166.064941,7192.663086,7149.609863,7191.124023,230230400
2025-06-16,7117.590820,7117.590820,7211.543945,7117.590820,7158.903809,224577700
2025-06-17,7155.852051,7155.852051,7181.466797,7143.604004,7163.026855,173034400
2025-06-18,7107.789062,7107.789062,7166.667969,7089.455078,7155.124023,180387400
2025-06-19,6968.639160,6968.639160,7115.903809,6935.009766,7107.786133,222226000
2025-06-20,6907.138184,6907.138184,6956.805176,6873.715820,6948.284180,331625100
2025-06-23,6787.140137,6787.140137,6834.769043,6745.146973,6833.475098,226947900
2025-06-24,6869.170898,6869.170898,6924.969238,6852.112793,6864.278809,186087300
2025-06-25,6832.143066,6832.143066,6918.783203,6814.735840,6908.924805,170914900
2025-06-26,6897.399902,6897.399902,6897.399902,6817.411133,6842.012207,154075100
2025-06-30,6927.679199,6927.679199,6949.279785,6876.258789,6936.064941,167652600
2025-07-01,6915.359863,6915.359863,6971.238770,6885.138184,6954.386230,149285200
2025-07-02,6881.245117,6881.245117,6905.369141,6838.403809,6896.421875,182041600
2025-07-03,6878.050781,6878.050781,6922.733887,6877.437988,6898.630859,154435700
2025-07-04,6865.191895,6865.191895,6916.673828,6843.690918,6893.217773,132824800
2025-07-07,6900.932129,6900.932129,6900.932129,6844.860840,6874.007812,120827500
2025-07-08,6904.392090,6904.392090,6916.833008,6885.282227,6892.340820,151801800
2025-07-09,6943.921875,6943.921875,6943.921875,6907.212891,6918.699219,157353100
2025-07-10,7005.371094,7005.371094,7013.629883,6955.455078,6968.797852,167684600
2025-07-11,7047.437988,7047.437988,7055.794922,7026.487793,7036.295898,165301900
2025-07-14,7097.150879,7097.150879,7136.295898,7071.344238,7130.535156,205642100
2025-07-15,7140.474121,7140.474121,7161.835938,7079.000000,7122.083008,199389400
2025-07-16,7192.018066,7192.018066,7216.813965,7142.861816,7182.645020,227976400
2025-07-17,7287.020996,7287.020996,7291.563965,7226.117188,7229.259766,202116700
2025-07-18,7311.915039,7311.915039,7401.579102,7311.915039,7346.037109,273828000
2025-07-21,7398.191895,7398.191895,7408.012207,7306.872070,7366.310059,287814600
2025-07-22,7344.735840,7344.735840,7457.380859,7344.735840,7440.286133,279326600
2025-07-23,7469.229980,7469.229980,7469.229980,7354.996094,7378.230957,247067700
2025-07-24,7530.901855,7530.901855,7568.223145,7478.363770,7485.082031,242813700
2025-07-25,7543.502930,7543.502930,7552.774902,7515.125000,7542.375000,215990900
2025-07-28,7614.768066,7614.768066,7669.445801,7614.768066,7630.751953,229532300
2025-07-29,7617.907227,7617.907227,7680.194824,7565.788086,7625.792969,230535000
2025-07-30,7549.888184,7549.888184,7667.556152,7528.128906,7642.250000,282476700
2025-07-31,7484.336914,7484.336914,7566.751953,7476.380859,7551.244141,325693000
2025-08-01,7537.768066,7537.768066,7579.605957,7523.620117,7545.151855,257331800
2025-08-04,7464.645020,7464.645020,7560.056152,7448.040039,7552.496094,266636100
2025-08-05,7515.185059,7515.185059,7546.939941,7463.058105,7502.694824,246898000
2025-08-06,7503.750000,7503.750000,7549.265137,7502.011230,7534.446777,260371600
2025-08-07,7490.183105,7490.183105,7580.549805,7490.183105,7546.335938,278225900
2025-08-08,7533.384766,7533.384766,7648.902832,7516.977051,7639.192871,0
