round,ticker,daily,m1,m5,error
0,BNLI.JK,skip(empty),(ok),(ok),
0,NEST.JK,skip(empty),(ok),(ok),
0,DKHH.JK,skip(empty),(ok),(ok),
0,SATU.JK,skip(empty),(ok),(ok),
0,GZCO.JK,skip(empty),(ok),(ok),
0,BHAT.JK,skip(empty),(ok),(ok),
0,MMIX.JK,skip(empty),(ok),(ok),
0,HEXA.JK,skip(empty),(ok),(ok),
0,CENT.JK,skip(empty),(ok),(ok),
0,WINS.JK,skip(empty),(ok),(ok),
0,IKAN.JK,skip(empty),(ok),(ok),
0,SRAJ.JK,skip(empty),(ok),(ok),
0,PIPA.JK,skip(empty),(ok),(ok),
0,MBSS.JK,skip(empty),(ok),(ok),
0,ISSP.JK,skip(empty),(ok),(ok),
0,LIVE.JK,skip(empty),(ok),(ok),
0,BWPT.JK,skip(empty),(ok),(ok),
0,JIHD.JK,skip(empty),(ok),(ok),
0,MMLP.JK,skip(empty),(ok),(ok),
0,SGRO.JK,skip(empty),(ok),(ok),
0,VTNY.JK,skip(empty),(ok),(ok),
0,APLN.JK,skip(empty),(ok),(ok),
0,MLBI.JK,skip(empty),(ok),(ok),
0,ARNA.JK,skip(empty),(ok),(ok),
0,ASLC.JK,skip(empty),(ok),(ok),
0,MLIA.JK,skip(empty),(ok),(ok),
0,UCID.JK,skip(empty),(ok),(ok),
0,CAMP.JK,skip(empty),(ok),(ok),
0,ADES.JK,skip(empty),(ok),(ok),
0,CMNP.JK,skip(empty),(ok),(ok),
0,IMJS.JK,skip(empty),(ok),(ok),
0,HOKI.JK,skip(empty),(ok),(ok),
0,JTPE.JK,skip(empty),(ok),(ok),
0,NICE.JK,skip(empty),(ok),(ok),
0,SURI.JK,skip(empty),(ok),(ok),
0,LEAD.JK,skip(empty),(ok),(ok),
0,ROTI.JK,skip(empty),(ok),(ok),
0,CFIN.JK,skip(empty),(ok),(ok),
0,ADMF.JK,skip(empty),(ok),(ok),
0,MDIY.JK,skip(empty),(ok),(ok),
0,BSBK.JK,skip(empty),(ok),(ok),
0,FAST.JK,skip(empty),(ok),(ok),
0,BEST.JK,skip(empty),(ok),(ok),
0,KAEF.JK,skip(empty),(ok),(ok),
0,SGER.JK,skip(empty),(ok),(ok),
0,GOLF.JK,skip(empty),(ok),(ok),
0,TBIG.JK,skip(empty),(ok),(ok),
0,AISA.JK,skip(empty),(ok),(ok),
0,UNTD.JK,skip(empty),(ok),(ok),
0,PTMP.JK,skip(empty),(ok),(ok),
0,BABP.JK,skip(empty),(ok),(ok),
0,PAMG.JK,skip(empty),(ok),(ok),
0,BOLT.JK,skip(empty),(ok),(ok),
0,ASGR.JK,skip(empty),(ok),(ok),
0,AREA.JK,skip(empty),(ok),(ok),
0,INDO.JK,skip(empty),(ok),(ok),
0,BIKE.JK,skip(empty),(ok),(ok),
0,MLPT.JK,skip(empty),(ok),(ok),
0,CNKO.JK,skip(empty),(ok),(ok),
0,WTON.JK,skip(empty),(ok),(ok),
0,BLES.JK,skip(empty),(ok),(ok),
0,AYLS.JK,skip(empty),(ok),(ok),
0,PTPS.JK,skip(empty),(ok),(ok),
0,CGAS.JK,skip(empty),(ok),(ok),
0,DRMA.JK,skip(empty),(ok),(ok),
0,BOAT.JK,skip(empty),(ok),(ok),
0,YUPI.JK,skip(empty),(ok),(ok),
0,OKAS.JK,skip(empty),(ok),(ok),
0,DCII.JK,skip(empty),(ok),(ok),
0,BYAN.JK,skip(empty),(ok),(ok),
0,BBHI.JK,skip(empty),(ok),(ok),
0,SUNI.JK,skip(empty),(ok),(ok),
0,BOGA.JK,skip(empty),(ok),(ok),
0,PBSA.JK,skip(empty),(ok),(ok),
0,CITA.JK,skip(empty),(ok),(ok),
0,PNIN.JK,skip(empty),(ok),(ok),
0,IMAS.JK,skip(empty),(ok),(ok),
0,IRRA.JK,skip(empty),(ok),(ok),
0,JAWA.JK,skip(empty),(ok),(ok),
0,BELI.JK,skip(empty),(ok),(ok),
0,FORU.JK,skip(empty),(ok),(ok),
0,SMKM.JK,skip(empty),(ok),(ok),
0,DIVA.JK,skip(empty),(ok),(ok),
0,AIMS.JK,skip(empty),(ok),(ok),
0,RISE.JK,skip(empty),(ok),(ok),
0,MAHA.JK,skip(empty),(ok),(ok),
0,BRRC.JK,skip(empty),(ok),(ok),
0,GPSO.JK,skip(empty),(ok),(ok),
0,MPOW.JK,skip(empty),(ok),(ok),
0,KARW.JK,skip(empty),(ok),(ok),
0,VAST.JK,skip(empty),(ok),(ok),
0,SOCI.JK,skip(empty),(ok),(ok),
0,FIRE.JK,skip(empty),(ok),(ok),
0,APEX.JK,skip(empty),(ok),(ok),
0,UVCR.JK,skip(empty),(ok),(ok),
0,JRPT.JK,skip(empty),(ok),(ok),
0,RAAM.JK,skip(empty),(ok),(ok),
0,BGTG.JK,skip(empty),(ok),(ok),
0,WEGE.JK,skip(empty),(ok),(ok),
0,KOKA.JK,skip(empty),(ok),(ok),
0,MAYA.JK,skip(empty),(ok),(ok),
0,PBID.JK,skip(empty),(ok),(ok),
0,OPMS.JK,skip(empty),(ok),(ok),
0,MSKY.JK,skip(empty),(ok),(ok),
0,TMAS.JK,skip(empty),(ok),(ok),
0,SMDM.JK,skip(empty),(ok),(ok),
0,EURO.JK,skip(empty),(ok),(ok),
0,RMKE.JK,skip(empty),(ok),(ok),
0,DNAR.JK,skip(empty),(ok),(ok),
0,HALO.JK,skip(empty),(ok),(ok),
0,IPCM.JK,skip(empty),(ok),(ok),
0,NASI.JK,skip(empty),(ok),(ok),
0,SFAN.JK,skip(empty),(ok),(ok),
0,MREI.JK,skip(empty),(ok),(ok),
0,WAPO.JK,skip(empty),(ok),(ok),
0,MDLN.JK,skip(empty),(ok),(ok),
0,DGIK.JK,skip(empty),(ok),(ok),
0,MPXL.JK,skip(empty),(ok),(ok),
0,MBAP.JK,skip(empty),(ok),(ok),
0,NETV.JK,skip(empty),(ok),(ok),
0,YOII.JK,skip(empty),(ok),(ok),
0,NELY.JK,skip(empty),(ok),(ok),
0,CRAB.JK,skip(empty),(ok),(ok),
0,JKON.JK,skip(empty),(ok),(ok),
0,SPTO.JK,skip(empty),(ok),(ok),
0,VICI.JK,skip(empty),(ok),(ok),
0,ENAK.JK,skip(empty),(ok),(ok),
0,LPCK.JK,skip(empty),(ok),(ok),
0,FITT.JK,skip(empty),(ok),(ok),
0,BMHS.JK,skip(empty),(ok),(ok),
0,CEKA.JK,skip(empty),(ok),(ok),
0,SAME.JK,skip(empty),(ok),(ok),
0,DOSS.JK,skip(empty),(ok),(ok),
0,SHIP.JK,skip(empty),(ok),(ok),
0,PDPP.JK,skip(empty),(ok),(ok),
0,BAIK.JK,skip(empty),(ok),(ok),
0,CASS.JK,skip(empty),(ok),(ok),
0,ECII.JK,skip(empty),(ok),(ok),
0,MCOR.JK,skip(empty),(ok),(ok),
0,KEJU.JK,skip(empty),(ok),(ok),
0,BVIC.JK,skip(empty),(ok),(ok),
0,PANS.JK,skip(empty),(ok),(ok),
0,CLPI.JK,skip(empty),(ok),(ok),
0,KBLV.JK,skip(empty),(ok),(ok),
0,AMMS.JK,skip(empty),(ok),(ok),
0,WGSH.JK,skip(empty),(ok),(ok),
0,NFCX.JK,skip(empty),(ok),(ok),
0,CSRA.JK,skip(empty),(ok),(ok),
0,PRIM.JK,skip(empty),(ok),(ok),
0,BNBA.JK,skip(empty),(ok),(ok),
0,IATA.JK,skip(empty),(ok),(ok),
0,OMED.JK,skip(empty),(ok),(ok),
0,MKPI.JK,skip(empty),(ok),(ok),
0,EDGE.JK,skip(empty),(ok),(ok),
0,CBRE.JK,skip(empty),(ok),(ok),
0,CARS.JK,skip(empty),(ok),(ok),
0,TOTO.JK,skip(empty),(ok),(ok),
0,TMPO.JK,skip(empty),(ok),(ok),
0,WEHA.JK,skip(empty),(ok),(ok),
0,BATR.JK,skip(empty),(ok),(ok),
0,TLDN.JK,skip(empty),(ok),(ok),
0,MPIX.JK,skip(empty),(ok),(ok),
0,MPRO.JK,skip(empty),(ok),(ok),
0,AGII.JK,skip(empty),(ok),(ok),
0,AMAN.JK,skip(empty),(ok),(ok),
0,ARKO.JK,skip(empty),(ok),(ok),
0,NIKL.JK,skip(empty),(ok),(ok),
0,ACRO.JK,skip(empty),(ok),(ok),
0,DGNS.JK,skip(empty),(ok),(ok),
0,PTMR.JK,skip(empty),(ok),(ok),
0,BISI.JK,skip(empty),(ok),(ok),
0,FWCT.JK,skip(empty),(ok),(ok),
0,NRCA.JK,skip(empty),(ok),(ok),
0,ASPI.JK,skip(empty),(ok),(ok),
0,ISEA.JK,skip(empty),(ok),(ok),
0,KJEN.JK,skip(empty),(ok),(ok),
0,KLIN.JK,skip(empty),(ok),(ok),
0,LOPI.JK,skip(empty),(ok),(ok),
0,PZZA.JK,skip(empty),(ok),(ok),
0,SICO.JK,skip(empty),(ok),(ok),
0,VISI.JK,skip(empty),(ok),(ok),
0,AHAP.JK,skip(empty),(ok),(ok),
0,BAYU.JK,skip(empty),(ok),(ok),
0,RUIS.JK,skip(empty),(ok),(ok),
0,CLAY.JK,skip(empty),(ok),(ok),
0,MHKI.JK,skip(empty),(ok),(ok),
0,KOPI.JK,skip(empty),(ok),(ok),
0,UDNG.JK,skip(empty),(ok),(ok),
0,KING.JK,skip(empty),(ok),(ok),
0,MTWI.JK,skip(empty),(ok),(ok),
0,RCCC.JK,skip(empty),(ok),(ok),
0,CHEM.JK,skip(empty),(ok),(ok),
0,TIRA.JK,skip(empty),(ok),(ok),
0,NZIA.JK,skip(empty),(ok),(ok),
0,SMLE.JK,skip(empty),(ok),(ok),
0,SINI.JK,skip(empty),(ok),(ok),
0,TRON.JK,skip(empty),(ok),(ok),
0,BAJA.JK,skip(empty),(ok),(ok),
0,MUTU.JK,skip(empty),(ok),(ok),
0,VERN.JK,skip(empty),(ok),(ok),
