round,ticker,daily,m1,m5,m15,error
0,PWON.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,FORE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ARTO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,LSIP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HRUM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,PSAT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ELSA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BLOG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,STAA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DATA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,BSDE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ARCI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BNGA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PACK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NICL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,HATM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CLEO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,GOTO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AMMN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TPIA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,BUMI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CDIA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ICBP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BKSL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BUKA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,KIJA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BULL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NCKL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,WIRG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AYAM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,MYOR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TOWR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BIPI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PNBN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DOOH.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,SRTG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,IOTF.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CMRY.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HMSP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MINA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,AVIA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,IMPC.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SMBR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AWAN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PYFA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,SMDR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,BFIN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ADHI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,LPPF.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BMTR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MNCN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,TKIM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NISP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,GJTL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,APIC.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BANK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,AUTO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PANR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
