ticker,gran,price,prob_ara_tomorrow,prob_ara_tomorrow_adj,ara_target_pct,day_roc,prox,rvol60,cr,obv_up,virgin_hint,regime_score
PANR.JK,1m,800.0,67.0,67.0,25.0,0.0256,0.103,1.06,1.0,True,False,0.5
ADES.JK,1m,14075.0,66.9,66.9,20.0,-0.036,0.0,1.51,1.0,True,False,0.5
NCKL.JK,1m,995.0,66.9,66.9,25.0,0.0311,0.124,0.95,1.0,True,False,0.5
SNLK.JK,1m,505.0,66.8,66.8,25.0,0.0181,0.073,1.17,1.0,True,False,0.5
FPNI.JK,1m,191.0,66.7,66.7,35.0,-0.0052,0.0,1.48,1.0,True,False,0.5
SURI.JK,1m,113.0,66.6,66.6,35.0,-0.0174,0.0,1.47,1.0,True,False,0.5
TLDN.JK,1m,625.0,66.3,66.3,25.0,0.0081,0.032,1.28,1.0,True,False,0.5
BCAP.JK,1m,69.0,66.2,66.2,35.0,-0.0143,0.0,1.42,1.0,True,False,0.5
TPIA.JK,1m,9125.0,66.1,66.1,20.0,0.0139,0.069,1.09,1.0,True,False,0.5
BEST.JK,1m,106.0,66.1,66.1,35.0,0.0392,0.112,0.9,1.0,True,False,0.5
CUAN.JK,1m,1625.0,66.0,66.0,25.0,0.0252,0.101,0.93,1.0,True,False,0.5
BBTN.JK,1m,1335.0,65.9,65.9,25.0,0.043,0.172,19.04,1.0,False,False,0.5
BHAT.JK,1m,870.0,65.9,65.9,25.0,0.0175,0.07,1.06,1.0,True,False,0.5
DRMA.JK,1m,965.0,65.6,65.6,25.0,0.0,0.0,1.34,1.0,True,False,0.5
BSDE.JK,1m,895.0,65.5,65.5,25.0,0.017,0.068,1.02,1.0,True,False,0.5
KRAS.JK,1m,264.0,65.5,65.5,25.0,-0.0149,0.0,1.33,1.0,True,False,0.5
HAIS.JK,1m,191.0,65.4,65.4,35.0,0.0053,0.015,1.24,1.0,True,False,0.5
MCAS.JK,1m,980.0,65.2,65.2,25.0,0.0262,0.105,0.82,1.0,True,False,0.5
RUNS.JK,1m,64.0,64.8,64.8,35.0,0.0667,0.19,0.37,1.0,True,False,0.5
MLPT.JK,1m,66750.0,64.7,64.7,20.0,0.0273,0.137,3.35,1.0,False,False,0.5
ADMF.JK,1m,9100.0,64.7,64.7,20.0,0.0028,0.014,1.16,1.0,True,False,0.5
JPFA.JK,1m,1565.0,64.7,64.7,25.0,-0.0032,0.0,1.22,1.0,True,False,0.5
RUIS.JK,1m,216.0,64.7,64.7,25.0,0.0,0.0,1.21,1.0,True,False,0.5
CBUT.JK,1m,1250.0,64.6,64.6,25.0,-0.004,0.0,1.2,1.0,True,False,0.5
NICE.JK,1m,430.0,64.6,64.6,25.0,0.0047,0.019,1.11,1.0,True,False,0.5
MLPL.JK,1m,123.0,64.6,64.6,35.0,0.0336,0.096,0.78,1.0,True,False,0.5
CHEM.JK,1m,106.0,64.5,64.5,35.0,0.0928,0.265,2.4,1.0,False,False,0.5
AMMN.JK,1m,8575.0,64.4,64.4,20.0,0.0118,0.059,0.91,1.0,True,False,0.5
