kind,detail
other,AADI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AMRT.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AMRT.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,RAJA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,RAJA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PGAS.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PGAS.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,RATU.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,RATU.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INDF.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INDF.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DEWA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DEWA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,KLBF.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,KLBF.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TCPI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TCPI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PSAB.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PSAB.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INCO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INCO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TOBA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TOBA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MEDC.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MEDC.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,JPFA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,JPFA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,UNVR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,UNVR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INKP.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INKP.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PTBA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PTBA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CBDK.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CBDK.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ITMG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ITMG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ISAT.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ISAT.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BBTN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BBTN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PNLF.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PNLF.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,COIN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,COIN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ADMR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ADMR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMGR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMGR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ERAA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ERAA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMIL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMIL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DKFT.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DKFT.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CMNT.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CMNT.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AKRA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AKRA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ACES.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ACES.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SCMA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SCMA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MAPI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MAPI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MIKA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MIKA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INET.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INET.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TINS.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TINS.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SSIA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SSIA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,EXCL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,EXCL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MSIN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MSIN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MAPA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MAPA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CTRA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CTRA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MERI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MERI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ITMA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ITMA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ENRG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ENRG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HRTA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HRTA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CYBR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CYBR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMRA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMRA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INDY.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INDY.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HEAL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HEAL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,EMTK.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,EMTK.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DSNG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DSNG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TAPG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TAPG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,FILM.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,FILM.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MARK.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MARK.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,JSMR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,JSMR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INTP.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,INTP.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ESSA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ESSA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,UNIQ.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,UNIQ.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BTPS.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BTPS.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SIDO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SIDO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PTPP.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PTPP.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PWON.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PWON.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,FORE.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,FORE.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ARTO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ARTO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,LSIP.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,LSIP.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HRUM.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HRUM.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SSMS.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SSMS.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PSAT.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PSAT.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ELSA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ELSA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BLOG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BLOG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,STAA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,STAA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DATA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DATA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,KPIG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,KPIG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BSDE.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BSDE.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ARCI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ARCI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BNGA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BNGA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PACK.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PACK.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,NICL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,NICL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BBYB.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BBYB.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HATM.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HATM.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CLEO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CLEO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,GOTO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,GOTO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AMMN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AMMN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TPIA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TPIA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BREN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BREN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BUMI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BUMI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CDIA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CDIA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ICBP.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ICBP.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BKSL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BKSL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BUKA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BUKA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CPIN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CPIN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,KIJA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,KIJA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BULL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BULL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,NCKL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,NCKL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,WIRG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,WIRG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AYAM.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AYAM.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,OASA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,OASA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MYOR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MYOR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TOWR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TOWR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BIPI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BIPI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PNBN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PNBN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DOOH.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DOOH.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,GPRA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,GPRA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SRTG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SRTG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,IOTF.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,IOTF.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CMRY.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CMRY.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HMSP.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,HMSP.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MINA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MINA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MTEL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MTEL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AVIA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AVIA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,IMPC.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,IMPC.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMBR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMBR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AWAN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AWAN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PYFA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PYFA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CHEK.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CHEK.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMDR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SMDR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BBKP.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BBKP.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BFIN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BFIN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ADHI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ADHI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,LPPF.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,LPPF.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BMTR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BMTR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MNCN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MNCN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BJTM.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BJTM.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TKIM.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TKIM.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,NISP.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,NISP.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,GJTL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,GJTL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,APIC.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,APIC.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BANK.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BANK.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CASA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CASA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AUTO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AUTO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PANR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PANR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MTMH.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MTMH.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DMAS.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DMAS.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CARE.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CARE.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,GGRM.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,GGRM.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ASSA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ASSA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DOID.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DOID.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DGWG.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DGWG.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ULTJ.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ULTJ.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CNMA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CNMA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SOLA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SOLA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MLPL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MLPL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BEEF.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BEEF.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SNLK.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SNLK.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ASPR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ASPR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,NAIK.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,NAIK.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MTDL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MTDL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,KRYA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,KRYA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MIDI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MIDI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TPMA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,TPMA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MPMX.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MPMX.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DAAZ.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DAAZ.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MINE.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MINE.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BIRD.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BIRD.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ASRI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ASRI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AALI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AALI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MGRO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MGRO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SPRE.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,SPRE.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BJBR.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BJBR.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MSTI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MSTI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ERAL.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ERAL.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ANJT.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
