ticker,status,file,rows_before,rows_after,min_dt,max_dt,na_total,expected_per_day,last_day_coverage_pct,has_last_day
ASRI.JK,OK,emiten/cache_1m/ASRI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,7212,411,68.37,True
ASRM.JK,OK,emiten/cache_1m/ASRM.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16944,411,1.22,True
ASSA.JK,OK,emiten/cache_1m/ASSA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,7752,411,63.75,True
ATIC.JK,OK,emiten/cache_1m/ATIC.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,14910,411,34.79,True
ATLA.JK,OK,emiten/cache_1m/ATLA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,9288,411,76.64,True
AUTO.JK,OK,emiten/cache_1m/AUTO.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8874,411,66.42,True
AVIA.JK,OK,emiten/cache_1m/AVIA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,9624,411,49.39,True
AWAN.JK,OK,emiten/cache_1m/AWAN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13866,411,22.63,True
AXIO.JK,OK,emiten/cache_1m/AXIO.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12186,411,28.95,True
AYAM.JK,OK,emiten/cache_1m/AYAM.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12438,411,49.15,True
AYLS.JK,OK,emiten/cache_1m/AYLS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12480,411,35.77,True
BABP.JK,OK,emiten/cache_1m/BABP.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,11370,411,37.47,True
BABY.JK,OK,emiten/cache_1m/BABY.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15060,411,18.98,True
BACA.JK,OK,emiten/cache_1m/BACA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15432,411,10.46,True
BAIK.JK,OK,emiten/cache_1m/BAIK.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13680,411,44.53,True
BAJA.JK,OK,emiten/cache_1m/BAJA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,11934,411,44.77,True
BALI.JK,OK,emiten/cache_1m/BALI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16290,411,27.25,True
BANK.JK,OK,emiten/cache_1m/BANK.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12966,411,30.9,True
BAPA.JK,OK,emiten/cache_1m/BAPA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12402,411,41.36,True
BATA.JK,OK,emiten/cache_1m/BATA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,17100,411,2.92,True
BATR.JK,OK,emiten/cache_1m/BATR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12264,411,42.09,True
BAYU.JK,OK,emiten/cache_1m/BAYU.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15594,411,17.76,True
BBCA.JK,OK,emiten/cache_1m/BBCA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6114,411,77.62,True
BBHI.JK,OK,emiten/cache_1m/BBHI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8982,411,56.69,True
BBKP.JK,OK,emiten/cache_1m/BBKP.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,7968,411,63.99,True
BBLD.JK,OK,emiten/cache_1m/BBLD.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15540,411,40.63,True
BBMD.JK,OK,emiten/cache_1m/BBMD.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,17172,411,1.7,True
BBNI.JK,OK,emiten/cache_1m/BBNI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6126,411,77.37,True
BBRI.JK,OK,emiten/cache_1m/BBRI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6114,411,77.62,True
