ticker,status,wrote,rows_before,header_stripped,parsed_dt_invalid,cut_weekend,cut_session,rows_after_local,rows_yf,rows_final,range_min,range_max,dup_before,dup_after,removed_all_na_cols,file,error
BNII.JK,OK,True,68,0,0,0,3,0,810,810,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BNII.JK.csv,
BOGA.JK,OK,True,23,0,0,0,5,0,99,99,2025-08-13 09:13:00+07:00,2025-08-19 14:20:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BOGA.JK.csv,
BNLI.JK,OK,True,28,0,0,0,5,0,212,212,2025-08-13 09:00:00+07:00,2025-08-19 15:20:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BNLI.JK.csv,
BOBA.JK,OK,True,31,0,0,0,2,29,188,188,2025-08-13 09:11:00+07:00,2025-08-19 15:23:00+07:00,{},{},Adj Close,emiten/cache_1m/BOBA.JK.csv,
BPII.JK,OK,True,7,0,0,0,3,0,206,206,2025-08-13 09:11:00+07:00,2025-08-19 15:23:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BPII.JK.csv,
BPTR.JK,OK,True,10,0,0,0,4,0,230,230,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BPTR.JK.csv,
BRAM.JK,OK,True,20,0,0,0,0,20,265,265,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Adj Close,emiten/cache_1m/BRAM.JK.csv,
BREN.JK,OK,True,208,0,0,0,16,0,1141,1141,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BREN.JK.csv,
BNBA.JK,OK,True,53,0,0,0,11,0,1141,1141,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BNBA.JK.csv,
BRMS.JK,OK,True,1943,2,0,0,197,1744,1140,2584,2025-08-06 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Adj Close,emiten/cache_1m/BRMS.JK.csv,
BRNA.JK,OK,True,187,0,0,0,19,0,1141,1141,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BRNA.JK.csv,
BRIS.JK,OK,True,717,0,0,0,9,0,1123,1123,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Open,emiten/cache_1m/BRIS.JK.csv,
BOLT.JK,OK,True,9,0,0,0,2,0,1125,1125,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BOLT.JK.csv,
BRPT.JK,OK,True,792,0,0,0,17,0,1141,1141,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Open,emiten/cache_1m/BRPT.JK.csv,
