ticker,status,rows_base,rows_fresh,rows_out,min_out,max_out,error,merge_start,last_dt_before
BABY.JK,OK,121,18,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BACA.JK,OK,121,19,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BAIK.JK,OK,121,119,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BAJA.JK,OK,121,87,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BALI.JK,OK,121,16,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BANK.JK,OK,121,43,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BAPA.JK,OK,121,59,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BATA.JK,OK,121,0,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BATR.JK,OK,121,29,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BAYU.JK,OK,121,9,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BBCA.JK,OK,121,119,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BBHI.JK,OK,121,76,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BBKP.JK,OK,121,106,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BBLD.JK,OK,121,79,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
